NOTIFY: Locale symbol 'error_tourprogress_owner_signed_out' redefined
[CHAR_MESH] char='player0' mesh='fingernails_resource.mesh' bones=10 rebound=0 shared=0
[CHAR_MESH] char='player0' mesh='tongue.mesh' bones=4 rebound=0 shared=0
[CHAR_MESH] char='player0' mesh='head.mesh' bones=33 rebound=0 shared=0
[CHAR_MESH] char='player0' mesh='upperteeth.mesh' bones=1 rebound=0 shared=0
[CHAR_MESH] char='player0' mesh='eyebrows1_resource.mesh' bones=6 rebound=0 shared=0
[CHAR_MESH] char='player0' mesh='youngozzie_resource.mesh' bones=17 rebound=0 shared=0
[CHAR_MESH] char='player0' mesh='hands_naked.mesh' bones=38 rebound=0 shared=0
[CHAR_MESH] char='player0' mesh='eyes.mesh' bones=2 rebound=0 shared=0
[CHAR_MESH] char='player0' mesh='male_facehair_lemmy.mesh' bones=33 rebound=0 shared=0
[CHAR_MESH] char='player0' mesh='lowerteeth.mesh' bones=1 rebound=0 shared=0
[CHAR_MESH] char='player0' mesh='vestdenim_resource.mesh' bones=18 rebound=0 shared=0
[CHAR_MESH] char='player0' mesh='vestdenim_skin.1.mesh' bones=27 rebound=0 shared=0
[CHAR_MESH] char='player0' mesh='tightdistressedpants_skin.3.mesh' bones=4 rebound=0 shared=0
[CHAR_MESH] char='player0' mesh='tightdistressedpants_resource.1.mesh' bones=4 rebound=0 shared=0
[CHAR_MESH] char='player0' mesh='tightdistressedpants_resource.mesh' bones=9 rebound=0 shared=0
[CHAR_MESH] char='player0' mesh='tightdistressedpants_skin.2.mesh' bones=4 rebound=0 shared=0
[CHAR_MESH] char='player0' mesh='cowboyboots_resource.mesh' bones=6 rebound=0 shared=0
[SKEL_REBIND] member='player0' path='player0 (char/main/main.milo)' skinMeshes=0 slots=0 reboundDiff=0 same=0 nullOwn=0
NOTIFY: --->Arvin/Diana: Skinned mesh needs to be re-exported: blownback_resource.mesh (char/main/hair/female/female_hair_blownback_resource.milo)
[CHAR_MESH] char='player1' mesh='fingernails_resource.mesh' bones=10 rebound=0 shared=0
[CHAR_MESH] char='player1' mesh='tongue.mesh' bones=4 rebound=0 shared=0
[CHAR_MESH] char='player1' mesh='head.mesh' bones=39 rebound=0 shared=0
[CHAR_MESH] char='player1' mesh='upperteeth.mesh' bones=1 rebound=0 shared=0
[CHAR_MESH] char='player1' mesh='hands_naked.mesh' bones=40 rebound=0 shared=0
[CHAR_MESH] char='player1' mesh='blownback_resource.mesh' bones=17 rebound=0 shared=0
[CHAR_MESH] char='player1' mesh='eyes.mesh' bones=2 rebound=0 shared=0
[CHAR_MESH] char='player1' mesh='female_eyebrows_09_resource.mesh' bones=6 rebound=0 shared=0
[CHAR_MESH] char='player1' mesh='lowerteeth.mesh' bones=1 rebound=0 shared=0
[CHAR_MESH] char='player1' mesh='trackjacket_resource.mesh' bones=24 rebound=0 shared=0
[CHAR_MESH] char='player1' mesh='trackjacket_skin.2.mesh' bones=11 rebound=0 shared=0
[CHAR_MESH] char='player1' mesh='buttflappants_skin.2.mesh' bones=4 rebound=0 shared=0
[CHAR_MESH] char='player1' mesh='buttflappants_belts.mesh' bones=11 rebound=0 shared=0
[CHAR_MESH] char='player1' mesh='buttflappants_saftypin.mesh' bones=2 rebound=0 shared=0
[CHAR_MESH] char='player1' mesh='buttflappants_resource.1.mesh' bones=9 rebound=0 shared=0
[CHAR_MESH] char='player1' mesh='buttflappants_resource.mesh' bones=12 rebound=0 shared=0
[CHAR_MESH] char='player1' mesh='saddleshoe_resource.mesh' bones=4 rebound=0 shared=0
[CHAR_MESH] char='player1' mesh='saddleshoe_skin.2.mesh' bones=4 rebound=0 shared=0
[SKEL_REBIND] member='player1' path='player1 (char/main/main.milo)' skinMeshes=0 slots=0 reboundDiff=0 same=0 nullOwn=0
[CHAR_MESH] char='player2' mesh='fingernails_resource.mesh' bones=10 rebound=0 shared=0
[CHAR_MESH] char='player2' mesh='tongue.mesh' bones=4 rebound=0 shared=0
[CHAR_MESH] char='player2' mesh='head.mesh' bones=33 rebound=0 shared=0
[CHAR_MESH] char='player2' mesh='upperteeth.mesh' bones=1 rebound=0 shared=0
[CHAR_MESH] char='player2' mesh='malewrist_barbedwire_right.mesh' bones=3 rebound=0 shared=0
[CHAR_MESH] char='player2' mesh='maleearrings_plug.mesh' bones=2 rebound=0 shared=0
[CHAR_MESH] char='player2' mesh='eyebrows8_resource.mesh' bones=6 rebound=0 shared=0
[CHAR_MESH] char='player2' mesh='mohawk_resource.mesh' bones=5 rebound=0 shared=0
[CHAR_MESH] char='player2' mesh='hands_naked.mesh' bones=38 rebound=0 shared=0
[CHAR_MESH] char='player2' mesh='eyes.mesh' bones=2 rebound=0 shared=0
[CHAR_MESH] char='player2' mesh='lowerteeth.mesh' bones=1 rebound=0 shared=0
[CHAR_MESH] char='player2' mesh='shred_skin.1.mesh' bones=27 rebound=0 shared=0
[CHAR_MESH] char='player2' mesh='shred_resource.mesh' bones=19 rebound=0 shared=0
[CHAR_MESH] char='player2' mesh='grungepants_skin.2.mesh' bones=2 rebound=0 shared=0
[CHAR_MESH] char='player2' mesh='grungepants_resource.mesh' bones=8 rebound=0 shared=0
[CHAR_MESH] char='player2' mesh='nailboots_resource.mesh' bones=6 rebound=0 shared=0
[SKEL_REBIND] member='player2' path='player2 (char/main/main.milo)' skinMeshes=0 slots=0 reboundDiff=0 same=0 nullOwn=0
[CHAR_MESH] char='player3' mesh='fingernails_resource.mesh' bones=10 rebound=0 shared=0
[CHAR_MESH] char='player3' mesh='tongue.mesh' bones=4 rebound=0 shared=0
[CHAR_MESH] char='player3' mesh='head.mesh' bones=33 rebound=0 shared=0
[CHAR_MESH] char='player3' mesh='eyebrows5_resource.mesh' bones=6 rebound=0 shared=0
[CHAR_MESH] char='player3' mesh='upperteeth.mesh' bones=1 rebound=0 shared=0
[CHAR_MESH] char='player3' mesh='malewrist_hercules_right.mesh' bones=3 rebound=0 shared=0
[CHAR_MESH] char='player3' mesh='hands_naked.mesh' bones=38 rebound=0 shared=0
[CHAR_MESH] char='player3' mesh='bedhead_resource.mesh' bones=10 rebound=0 shared=0
[CHAR_MESH] char='player3' mesh='eyes.mesh' bones=2 rebound=0 shared=0
[CHAR_MESH] char='player3' mesh='lowerteeth.mesh' bones=1 rebound=0 shared=0
[CHAR_MESH] char='player3' mesh='plaidshirt_skin.1.mesh' bones=21 rebound=0 shared=0
[CHAR_MESH] char='player3' mesh='plaidshirt_resource.mesh' bones=24 rebound=0 shared=0
[CHAR_MESH] char='player3' mesh='tightjeans_resource.mesh' bones=10 rebound=0 shared=0
[CHAR_MESH] char='player3' mesh='dressshoes_resource.1.mesh' bones=6 rebound=0 shared=0
[CHAR_MESH] char='player3' mesh='dressshoes_resource.mesh' bones=6 rebound=0 shared=0
[CHAR_MESH] char='player3' mesh='dressshoes_skin.2.mesh' bones=5 rebound=0 shared=0
[SKEL_REBIND] member='player3' path='player3 (char/main/main.milo)' skinMeshes=0 slots=0 reboundDiff=0 same=0 nullOwn=0
RB3 Native: entering frame loop — unbounded (RB3_HTTP keep-alive)
